id,question,answer,due_date,num,active
72,विलोम शब्द :  सुगन्धित,दुर्गन्धित,2020-10-24 08:24:33.304974,0,True
73,विलोम शब्द : सवेरा,शाम,2020-10-24 08:24:33.304974,0,True
74,कविता पूरी करें: एक किरण बनकर तुम भी _______,फैला दो दुनिया में जीवन,2020-10-24 08:24:33.304974,0,True
75,कविता पूरी करें: चमक उठे सुंदर प्रकाश से _______,इस धरती का कण कण,2020-10-24 08:24:33.304974,0,True
76,समानार्थ वाले शब्द लिखिए: फूल ___ ___,कुसुम पुष्प,2020-12-03 08:00:09.370130,5,True
77,समानार्थ वाले शब्द लिखिए: प्रकाश ___ ___,ज्योति उजाला,2020-10-24 08:24:33.304974,0,True
78,समानार्थ वाले शब्द लिखिए: धरती ___ ___,धरा पृथ्वी,2020-10-24 08:24:33.304974,0,True
79,समानार्थ वाले शब्द लिखिए: भौंरा ___ ___,भंवरा अलि,2020-10-24 08:24:33.304974,0,True
80,शब्दों को सुध करके लिखिए: ज्योती,ज्योति,2020-12-07 08:00:09.370076,6,True
81,शब्दों को सुध करके लिखिए: सूगंधित,सुगंदूनी,2020-10-24 08:24:33.304974,0,True
82,शब्दों को सुध करके लिखिए: दूनिया,दुनिया,2020-12-03 16:36:58.701320,5,True
83,शब्दों को सुध करके लिखिए: प्रकास,प्रकाश,2020-12-07 08:00:09.370038,6,True
84,write शब्दार्थ : पगडंडी,पैदल चलने का रास्ता (Track Footpath),2020-10-24 08:24:33.304974,0,False
85,write शब्दार्थ : मार्ग,रास्ता (Way Path),2020-10-24 08:24:33.304974,0,False
86,write शब्दार्थ : घाटी,दो पहाड़ों के बीच की नीची जमीन (Valley),2020-10-24 08:24:33.304974,0,False
87,write शब्दार्थ : नटखट,चंचल (Naughty ),2020-10-24 08:24:33.304974,0,False
88,write शब्दार्थ : खलिहान,वह स्थान जहाँ फ़सल काटकर रखी (Place for threshing corn),2020-10-24 08:24:33.304974,0,False
89,write शब्दार्थ : सुनसान ___ ___,वीरान निर्जन (Deserted),2020-10-24 08:24:33.304974,0,False
90,write शब्दार्थ : क्रोध,गुस्सा (Anger),2020-10-24 08:24:33.304974,0,False
91,write शब्दार्थ : डरावना,जिसे देखकर डर लगे (Frightening),2020-10-24 08:24:33.304974,0,False
92,write शब्दार्थ : तीर्थ,पवित्र स्थान (Pilgrimage),2020-10-24 08:24:33.304974,0,False
93,write शब्दार्थ : मलबा,कूड़ा-करकट (Rubble),2020-10-24 08:24:33.304974,0,False
94,write शब्दार्थ : दूषित,गंदा (Dirty),2020-12-03 08:00:09.370359,5,False
95,पर्यायवाची शब्द : नदी ___ ___,सरिता तटिनी,2020-10-24 08:24:33.304974,0,False
96,पर्यायवाची शब्द : धरती ___ ___ ___,पृथ्वी धरा भूमि,2020-10-24 08:24:33.304974,0,False
97,पर्यायवाची शब्द : अमृत ___ ___,सोम सुधा,2020-10-24 08:24:33.304974,0,False
98,पर्यायवाची शब्द : जल ___ ___ ___,पानी नीर वारि,2020-10-24 08:24:33.304974,0,False
99,पर्यायवाची शब्द : बेटी ___ ___ ___,पुत्री कन्या तनया,2020-10-24 08:24:33.304974,0,False
100,पर्यायवाची शब्द : वृक्ष ___ ___ ___,पेड़ तरु पादप,2020-10-24 08:24:33.304974,0,False
101,पर्यायवाची शब्द : फूल ___ ___ ___,पुष्प सुमन कुसुम,2020-10-24 08:24:33.304974,0,False
102,पर्यायवाची शब्द : मार्ग ___ ___ ___,रास्ता राह मग,2020-10-24 08:24:33.304974,0,False
103,विलोम शब्द : सुनसान,भीड़-भाड़,2020-10-24 08:24:33.304974,0,False
104,विलोम शब्द : स्वच्छ,गंदा मालिन,2020-10-24 08:24:33.304974,0,False
105,विलोम शब्द : धीरे,तेज,2020-10-24 08:24:33.304974,0,False
106,विलोम शब्द : अमृत,विष,2020-10-24 08:24:33.304974,0,False
107,विलोम शब्द : ऊंचे,नीचे,2020-10-24 08:24:33.304974,0,False
108,विलोम शब्द : हमेशा,कभी-कभी,2020-10-24 08:24:33.304974,0,False
109,सही या गलत: नदी हर तरह की कठिनाइयों को झेलते हुए अपना रास्ता स्वयं बना लेती है।,✓,2020-12-03 08:18:35.893594,5,False
110,सही या गलत: ऊँचे-नीचे स्थानों पर नदी नटखट लड़की की तरह उछलती-कूदती है।,✓,2020-12-03 08:18:35.893657,5,False
111,सही या गलत: नदी बिना जल के ही सुंदर दिखती है।,×,2020-12-03 08:18:35.893686,5,False
112,सही या गलत: बाढ़ आने पर नदी गाँव-के-गाँव बहा ले जाती है।,✓,2020-12-01 16:36:58.700447,4,False
113,सही या गलत: नदी मनुष्यों को आनंद देती है।,✓,2020-12-01 16:36:58.700399,4,False
114,सही या गलत: नदी के अनेक नाम नहीं हैं।,×,2020-12-01 16:36:58.700351,4,False
115,संज्ञा शब्द चुनकर लिखिए: बने-बनाए रास्ते मुझे नहीं भाते।,रास्ते,2020-12-01 16:36:58.700201,4,False
116,संज्ञा शब्द चुनकर लिखिए: मैं पहाड़ों की बेटी हूँ।,पहाड़ों बेटी,2020-10-24 08:24:33.304974,0,False
117,संज्ञा शब्द चुनकर लिखिए: जल के बिना मैं सुंदर नहीं लगती।,जल,2020-10-24 08:24:33.304974,0,False
118,संज्ञा शब्द चुनकर लिखिए: मैं पगडंडी पर नहीं चलती।,पगडंडी,2020-10-24 08:24:33.304974,0,False
119,संज्ञा शब्द चुनकर लिखिए: कभी-कभी मुझे क्रोध भी आता है।,क्रोध,2020-10-24 08:24:33.304974,0,False
120,संज्ञा शब्द चुनकर लिखिए: आजकल लोग मुझे स्वच्छ नहीं रहने देते।,लोग,2020-10-24 08:24:33.304974,0,False
121,व्यक्तिवाचक संज्ञा शब्द चुनकर लिखिए: मैं नदी हूँ। मैं पहाड़ों की बेटी हूँ।,नदी,2020-12-03 16:36:58.701268,5,False
122,व्यक्तिवाचक संज्ञा शब्द चुनकर लिखिए: मैं पगडंडी पर नहीं चलती।,पगडंडी,2020-12-01 16:36:58.700302,4,False
123,व्यक्तिवाचक संज्ञा शब्द चुनकर लिखिए: सड़कों पर नहीं चलती।,सड़कों,2020-12-01 16:36:58.700253,4,False
124,व्यक्तिवाचक संज्ञा शब्द चुनकर लिखिए: बने-बनाए रास्ते मुझे नहीं भाते।,रास्ते,2020-12-03 08:18:35.893627,5,False
125,जातिवाचक संज्ञा शब्द चुनकर लिखिए: मैं जहाँ बहती हूँ वहाँ फ़सलें लहलहाने लगती हैं।,फ़सलें,2020-12-01 08:18:35.894371,4,False
126,जातिवाचक संज्ञा शब्द चुनकर लिखिए: वृक्ष फूलों फलों से लद जाते हैं।,वृक्ष फूलों फलों,2020-11-30 16:36:58.700494,3,False
127,जातिवाचक संज्ञा शब्द चुनकर लिखिए: में सबको अमृत जैसा जल पिलाती हूँ।,अमृत जल,2020-11-30 16:36:58.700647,3,False
128,जातिवाचक संज्ञा शब्द चुनकर लिखिए: बड़े-बड़े नगर और तीर्थ मेरे तटों पर बसे हैं।,नगर तीर्थ तटों,2020-11-30 16:36:58.700699,3,False
129,सही शब्द भरिए: गरमियों __ मेरा जल सूख जाता है।,में,2020-12-03 08:00:09.370313,5,False
130,सही शब्द भरिए: मैं मनुष्यों ___ आनंद देती हूँ।,को,2020-12-07 16:36:58.701056,6,False
131,सही शब्द भरिए: बड़े-बड़े नगर और तीर्थ मेरे तटों ___ बसे हैं।,पर,2020-12-07 16:36:58.701110,6,False
132,सही शब्द भरिए: मैं पहाड़ों ___ बेटी हूँ।,की,2020-12-03 08:00:09.370246,5,False
133,सही शब्द भरिए: मैं सदा चलते रहने ___ गीत सुनाती हूँ।,का,2020-12-03 08:00:09.370217,5,False
134,Write शब्दार्थ : जल्दबाजी,हड़बड़ी (Hurry),2020-10-26 10:48:56.827069,0,False
135,Write शब्दार्थ : स्वभाव,आदत (Nature),2020-10-26 10:48:56.827069,0,False
136,Write शब्दार्थ : हकलांना,रुक-रुककर बोलना (Stammer),2020-10-26 10:48:56.827069,0,False
137,Write शब्दार्थ : परीक्षा-कक्ष,वह कमरा जहाँ परीक्षा होती है (Examination hall),2020-10-26 10:48:56.827069,0,False
138,Write शब्दार्थ : विपत्ति,मुसीबत (Hardship),2020-10-26 10:48:56.827069,0,False
139,Write शब्दार्थ : नियत,निश्चित (Scheduled),2020-10-26 10:48:56.827069,0,False
140,Write शब्दार्थ : सहपाठी,साथ पढ़ने वाले (Classfellow),2020-10-26 10:48:56.827069,0,False
141,Write शब्दार्थ : परिणाम,फल(Result),2020-10-26 10:48:56.827069,0,False
142,Write शर्दाथ : प्रत्येक,हर एक (Everyone),2020-10-26 10:48:56.827069,0,False
143,मुहावरे: चैन की साँस लेना,चैन या आराम मिलना,2020-10-26 10:48:56.827069,0,False
144,मुहावरे: चेहरा पीला पड़ना,डर के कारण चेहरे पर परेशानी का भाव आना,2020-10-26 10:48:56.827069,0,False
145,मुहावरे: दिमाग सुन्न होना,कुछ समझ न आना,2020-10-26 10:48:56.827069,0,False
146,मुहावरे: सिर पीटना,पछताना,2020-10-26 10:48:56.827069,0,False
147,मुहावरे: आसमान  टूटना,संकट आना,2020-10-26 10:48:56.827069,0,False
148,पर्यायवाची शब्द : विपत्ति,संकट मुसीबत,2020-10-26 10:48:56.827069,0,False
149,पर्यायवाची शब्द : दरवाजा,कपाट द्वार,2020-10-26 10:48:56.827069,0,False
150,पर्यायवाची शब्द : स्वभाव,प्रकृति आदत,2020-10-26 10:48:56.827069,0,False
151,पर्यायवाची शब्द : दिन,दिवस वार,2020-10-26 10:48:56.827069,0,False
152,विलोम शब्द : हानि,लाभ,2020-10-26 10:48:56.827069,0,False
153,विलोम शब्द : निश्चय,अनिश्चय,2020-10-26 10:48:56.827069,0,False
154,विलोम शब्द : शांति,अशांति,2020-10-26 10:48:56.827069,0,False
155,विलोम शब्द :  दिन,रात,2020-10-26 10:48:56.827069,0,False
156,सही और गलत: हर काम में जल्दबाजी करना राघव का स्वभाव बन चुका था।,✓,2020-12-03 08:18:35.893544,5,False
157,सही और गलत: जल्दबाजी के कारण राघव के अधिकतर काम जल्दी हो जाते थे।,(×),2020-12-03 08:18:35.893499,5,False
158,सही और गलत: पहला पेपर हिंदी का था।,(✓),2020-12-03 08:18:35.893439,5,False
159,सही और गलत: राघव ने विज्ञान की किताब तक न खोली थी!,(✓),2020-12-03 08:00:09.370649,5,False
160,सही और गलत: राघव ने जल्दबाजी की अपनी आदत कभी नहीं बदली।,(×),2020-12-03 08:00:09.370620,5,False
161,नए शाबाद बनाइए: जल्द + बाजी,जल्दबाजी,2020-12-03 08:00:09.370592,5,False
162,नए शाबाद बनाइए: आतिश+बाजी,आतिशबाजी,2020-12-03 08:00:09.370563,5,False
163,नए शाबाद बनाइए: पतंग +बाजी,पतंगबाजी,2020-12-03 08:00:09.370534,5,False
164,नए शाबाद बनाइए: कला+बाजी,कलाबाजी,2020-12-03 08:00:09.370506,5,False
165,पर्यायवाची शब्द: स्कूल,विद्यालय,2020-10-26 10:48:56.827069,0,False
166,पर्यायवाची शब्द: बाथरूम,स्नानघर,2020-10-26 10:48:56.827069,0,False
167,पर्यायवाची शब्द: आवाज़,ध्वनि,2020-10-26 10:48:56.827069,0,False
168,पर्यायवाची शब्द: शुरू,आरंभ,2020-10-26 10:48:56.827069,0,False
169,पर्यायवाची शब्द: अखबार,समाचारपत्र,2020-10-26 10:48:56.827069,0,False
170,पर्यायवाची शब्द: जल्दी,शीघ्र,2020-10-26 10:48:56.827069,0,False
171,पर्यायवाची शब्द: असर,प्रभाव,2020-10-26 10:48:56.827069,0,False
172,पर्यायवाची शब्द: हर,प्रत्येक,2020-10-26 10:48:56.827069,0,False
173,संज्ञा के ___ भेद होते हैं,तीन,2020-12-03 16:36:58.701477,5,False
174,which संज्ञा: सुंदरता बुढ़ापा खुशी क्रोध,भाववाचक संज्ञा,2020-12-03 16:36:58.701424,5,False
175,which संञा: आदमी कुरसी गाँव शेर विद्यालय,जातिवाचक संज्ञा,2020-12-03 08:00:09.370477,5,False
176,which संञा: नागार्जुन हिमालय गंगा चेन्नई,व्यक्तिवाचक संज्ञा,2020-12-03 16:36:58.701528,5,False
177,which संज्ञा शब्दों: (राघव) परेशान हो गया।,व्यक्तिवाचक  संज्ञा,2020-11-30 16:36:58.700596,3,False
178,which संज्ञा शब्दों: उसे बहुत (खुशी) हुई।,भाववाचक संज्ञा,2020-12-03 16:36:58.701581,5,False
179,which संञा शदों: उसके (परीक्षा) के दिन आ गए।,जातिवाचक संज्ञा,2020-11-30 16:36:58.700546,3,False
180,which संञा शदों: (बचपन) में वह बहुत शरारती था।,भाववाचक संज्ञा,2020-12-03 16:36:58.701631,5,False
181,which संञा शदों: उसने (विज्ञान) की किताब तो खोली भी न थी।,व्यक्तिवाचक संज्ञा,2020-11-29 23:36:58.700749,2,False
182,नन्हा पोधा कविता के कवि हैं ___,वेंकटेश चंद्र पांडेय,2020-11-22 16:52:30.657798,0,False
183,शब्दार्थ:अंदर,भीतर (Inside),2020-11-22 16:52:30.657798,0,False
184,शब्दार्थ:नन्हा,छोटा (Small),2020-11-22 16:52:30.657798,0,False
185,शब्दार्थ:मंद,धीमा (Slow),2020-11-22 16:52:30.657798,0,False
186,शब्दार्थ: पवन,हवा (Wind),2020-11-22 16:52:30.657798,0,False
187,शब्दार्थ:निद्रा,नींद(sleep),2020-11-22 16:52:30.657798,0,False
188,शब्दार्थ:अलसाई,आलस्य से भरी(feel lazy),2020-11-22 16:52:30.657798,0,False
189,शब्दार्थ:तन,शरीर (body),2020-11-22 16:52:30.657798,0,False
190,शब्दार्थ:अद्भुत,अनोखा/विचित्र (splendid/strange),2020-11-22 16:52:30.657798,0,False
191,पर्यायवाची:जल,पानी नीर तोय,2020-11-22 16:52:30.657798,0,False
192,पर्यायवाची:नई,नवीन नूतन,2020-11-22 16:52:30.657798,0,False
193,पर्यायवाची:सुरज,सूर्य  रवि भानु,2020-11-22 16:52:30.657798,0,False
194,पर्यायवाची:तन,शरीर काया देह,2020-11-22 16:52:30.657798,0,False
195,विलोम शब्द:नन्हा,विशाल,2020-11-22 16:52:30.657798,0,False
196,विलोम शब्द:तन,मन,2020-11-22 16:52:30.657798,0,False
197,विलोम शब्द:मंद,तीव्र,2020-11-22 16:52:30.657798,0,False
198,विलोम शब्द:बाहर,भीतर,2020-11-22 16:52:30.657798,0,False
199,विलोम शब्द:आलस्य,स्फूर्ति,2020-11-22 16:52:30.657798,0,False
200,विलोम शब्द:पास,दूर,2020-11-22 16:52:30.657798,0,False
201,विलोम शब्द:नई,पुरानी,2020-11-22 16:52:30.657798,0,False
202,विलोम शब्द: अदभुत,सामान्य,2020-11-22 16:52:30.657798,0,False
203,विलोम शब्द: जगाया,सुलाया,2020-11-22 16:52:30.657798,0,False
204,पंक्तियां पूरी करो:सूरज बोला ...............,प्यारे पोधे,2020-11-22 16:52:30.657798,0,False
205,पंक्तियां पूरी करो:............. भगाओ।,निंद्रा दूर,2020-11-22 16:52:30.657798,0,False
206,पंक्तियां पूरी करो: अलसाई ………….,आंखे खोलो तुम,2020-11-22 16:52:30.657798,0,False
207,पंक्तियां पूरी करो: ……. आओ।,उठकर बाहर,2020-11-22 16:52:30.657798,0,False
208,पंक्तियां पूरी करो:आँख …………….,खोलकर नन्हे पौधे,2020-11-22 16:52:30.657798,0,False
209,पंक्तियां पूरी करो:........अंगड़ाई।,ने तब ली,2020-11-22 16:52:30.657798,0,False
210,पंक्तियां पूरी करो:एक ….. उसके तन में आई।,अनोखी नई शक्ति-सी,2020-11-22 16:52:30.657798,0,False
211,शब्दों में अनुस्वार अथवा चंद्रबिंदु लगाइए: बूद,बूँद,2020-11-22 16:52:30.657798,0,False
212,शब्दों में अनुस्वार अथवा चंद्रबिंदु लगाइए: मद,मंद,2020-11-22 16:52:30.657798,0,False
213,शब्दों में अनुस्वार अथवा चंद्रबिंदु लगाइए: आख,आँख,2020-11-22 16:52:30.657798,0,False
214,शब्दों में अनुस्वार अथवा चंद्रबिंदु लगाइए: अदर,अंदर,2020-11-22 16:52:30.657798,0,False
215,शब्दों में अनुस्वार अथवा चंद्रबिंदु लगाइए: अगडाई,अँगड़ाई,2020-11-22 16:52:30.657798,0,False
216,शब्दों में अनुस्वार अथवा चंद्रबिंदु लगाइए: चाद,चाँद,2020-11-22 16:52:30.657798,0,False
